time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-01-07T01:18:32.890Z,35.6223333,-117.4638333,7.85,0.92,ml,17,111,0.03265,0.18,ci,ci39026239,2020-01-07T01:25:31.217Z,"17km SSW of Searles Valley, CA",earthquake,0.49,0.64,0.136,9,reviewed,ci,ci
2020-01-07T01:12:37.220Z,35.3381667,-117.9276667,6.4,1.25,ml,22,55,0.09729,0.19,ci,ci39026231,2020-01-07T01:25:46.274Z,"24km NNE of California City, CA",earthquake,0.31,0.97,0.139,21,reviewed,ci,ci
2020-01-07T01:01:37.770Z,33.4931667,-116.7913333,9.26,0.66,ml,29,36,0.08501,0.21,ci,ci39026215,2020-01-07T01:05:13.342Z,"9km NE of Aguanga, CA",earthquake,0.3,0.87,0.121,18,automatic,ci,ci
2020-01-07T00:57:49.238Z,36.5450592,-98.62342834,4.192348957,1.94,ml,20,86.06874847,0.06096008793,0.2366108703,ok,ok2020alax,2020-01-07T01:01:18.830Z,"29km S of Alva, Oklahoma",earthquake,2.794950696,1.94143317,,16,automatic,ok,ok
2020-01-07T00:51:03.160Z,17.9346,-66.8921,7,2.31,md,14,209,0.0425,0.15,pr,pr.2020007000,2020-01-07T01:12:00.731Z,"4km SSE of Guanica, Puerto Rico",earthquake,0.63,0.29,0.3,10,reviewed,pr,pr
2020-01-07T00:29:25.850Z,19.1835003,-155.4333344,34.66,2.19,md,38,155,0.039,0.12,hv,hv71321167,2020-01-07T00:32:40.640Z,"5km ESE of Pahala, Hawaii",earthquake,0.66,0.81,0.2,23,automatic,hv,hv
2020-01-07T00:26:44.948Z,63.368,-149.4576,85.7,1.8,ml,,,,0.58,ak,ak020bkx3mm,2020-01-07T00:31:20.078Z,"25km W of Cantwell, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-01-07T00:21:28.903Z,65.0703,-153.5537,3.5,1.7,ml,,,,0.6,ak,ak020bkvzpe,2020-01-07T00:33:12.430Z,"70km W of Tanana, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-01-07T00:21:24.461Z,34.9732666,-97.68495941,6.596334934,2.04,ml,15,58.12382507,0.09133078903,0.7170135907,ok,ok2020akzs,2020-01-07T00:24:02.726Z,"17km NNW of Lindsay, Oklahoma",earthquake,3.222023116,3.412230648,,13,automatic,ok,ok
2020-01-07T00:03:59.610Z,19.3691673,-155.0548401,4.35,1.82,ml,31,174,0.03822,0.28,hv,hv71321142,2020-01-07T00:09:39.460Z,"16km S of Fern Acres, Hawaii",earthquake,0.85,0.73,0.13,3,automatic,hv,hv
2020-01-06T23:52:36.230Z,19.2121658,-155.4275055,31.5,2.26,md,38,136,0.03794,0.14,hv,hv71321132,2020-01-06T23:55:55.430Z,"5km E of Pahala, Hawaii",earthquake,0.69,1.03,0.12,19,automatic,hv,hv
